tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.0773686;2.00346;1.96938e-05;0.44;2093;37.0019;3;2.9503;0
0.102407;1.88498;2.71078e-05;0.44;1;49.3542;3;3.0657;0
0.135331;1.69954;3.58017e-05;0.44;1;49.3065;3;3.1721;0
0.147895;1.63101;2.896e-05;0.44;2240;36.9595;3;3.1721;0
0.147489;1.97656;2.17805e-05;0.44;1;46.3029;3;3.0467;0
0.103738;1.70208;3.16957e-05;0.44;1;46.3029;3;3.0467;0
0.114108;1.36507;2.45452e-05;0.44;2183;36.9547;3;3.0467;0
0.13816;1.90845;1.97372e-05;0.44;1;49.2866;3;3.0952;0
0.132995;1.43524;2.74828e-05;0.44;1;49.2783;3;3.2052;0
0.0956965;1.61976;3.57461e-05;0.44;1534;31.9261;3;3.2052;0
0.0836798;1.55805;1.74244e-05;0.44;1;48.4375;3;3.0554;0
0.0845279;1.32001;2.52483e-05;0.44;1;48.3297;3;3.1706;0
0.124495;1.34353;2.36956e-05;0.44;1064;38.335;3;3.1706;0
0.0837979;2.08281;3.33128e-05;0.44;1;47.4553;3;3.0019;0
0.124378;1.76033;2.10003e-05;0.44;1;47.448;3;3.005;0
0.11801;1.50755;2.13096e-05;0.44;3126;39.7202;3;3.005;0
0.0782404;1.79622;1.89255e-05;0.44;1;47.885;3;3.1093;0
0.146475;1.32425;3.06018e-05;0.44;1;47.8201;3;3.1679;0
0.107806;1.4682;2.73297e-05;0.44;1891;35.6138;3;3.1679;0
0.118932;1.84857;2.91937e-05;0.44;1;48.7172;3;3.0922;0
0.0844582;1.89137;3.23983e-05;0.44;1;48.6697;3;3.2158;0
0.130814;1.54541;2.6551e-05;0.44;1889;34.5653;3;3.2158;0
0.0823703;1.92427;3.41506e-05;0.44;1;47.1883;3;3.0974;0
0.134116;1.2977;2.61011e-05;0.44;1;47.1386;3;3.2375;0
0.0942135;1.73811;2.59835e-05;0.44;1998;35.4461;3;3.2375;0
0.0953673;2.07623;3.51891e-05;0.44;1;49.1076;3;3.0392;0
0.106451;1.53298;1.70242e-05;0.44;1;49.1006;3;3.1193;0
0.13472;2.07722;1.69213e-05;0.44;2112;36.3135;3;3.1193;0
0.0897503;1.37393;2.65959e-05;0.44;1;47.9135;3;3.0129;0
0.112279;1.55415;2.22528e-05;0.44;1;47.8944;3;3.0309;0
0.148795;1.87824;3.49723e-05;0.44;2011;34.8673;3;3.0309;0
0.0745235;1.7482;1.71169e-05;0.44;1;45.2651;3;3.0277;0
0.135496;2.07352;2.04165e-05;0.44;1;45.2575;3;3.0529;0
0.103076;1.78541;3.09911e-05;0.44;1362;34.7738;3;3.0529;0
0.143845;1.31936;3.25115e-05;0.44;1;46.1766;3;3.3065;0
0.142857;1.43096;2.72357e-05;0.44;1;46.0451;3;3.384;0
0.0968205;1.60583;2.5191e-05;0.44;1787;34.4999;3;3.384;0
0.0852275;1.49617;2.8111e-05;0.44;1;47.4783;3;3.1483;0
0.0862863;1.4032;2.92869e-05;0.44;1;47.3198;3;3.2677;0
0.134713;1.41489;2.53286e-05;0.44;1511;35.6496;3;3.2677;0
0.0910243;2.08535;2.98752e-05;0.44;1;47.792;3;3.1944;0
