tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.238006;2.12427;0;0.25;6001;26.6123;2.7;1.8221;1
0.238006;2.12427;0;0.25;6001;26.6123;2.7;1.8221;1
0.300602;2.06503;0;0.25;6001;25.3469;2.7;2.2204;1
0.300602;2.06503;0;0.25;6001;25.3469;2.7;2.2204;1
0.382913;1.97232;0;0.25;4955;23.9699;2.7;2.6617;0
0.414322;1.93805;0;0.25;1;23.9665;2.7;2.7451;0
0.413307;2.11082;0;0.25;1;23.9665;2.7;2.7451;0
0.303929;1.97359;0;0.25;6001;25.527;2.7;2.7451;1
0.303929;1.97359;0;0.25;6001;25.527;2.7;2.7451;1
0.329855;1.80508;0;0.25;6001;25.4162;2.7;2.4393;1
0.329855;1.80508;0;0.25;6001;25.4162;2.7;2.4393;1
0.389985;2.07677;0;0.25;4396;24.2934;2.7;2.6605;0
0.377073;1.84017;0;0.25;1;24.4949;2.7;2.7117;0
0.283826;1.93242;0;0.25;1;24.4542;2.7;2.756;0
0.253784;1.90157;0;0.25;6001;26.0205;2.7;2.756;1
0.253784;1.90157;0;0.25;6001;26.0205;2.7;2.756;1
0.255905;1.78255;0;0.25;6001;26.1399;2.7;1.7958;1
0.255905;1.78255;0;0.25;6001;26.1399;2.7;1.7958;1
0.355823;1.79431;0;0.25;6001;25.4161;2.7;2.6094;1
0.355823;1.79431;0;0.25;6001;25.4161;2.7;2.6094;1
0.25408;2.16395;0;0.25;6001;26.3225;2.7;2.2023;1
0.25408;2.16395;0;0.25;6001;26.3225;2.7;2.2023;1
0.355531;2.00271;0;0.25;3557;24.158;2.7;2.4383;0
0.339609;1.87632;0;0.25;1;25.9254;2.7;2.7061;0
0.240186;2.02065;0;0.25;1;25.8714;2.7;2.8332;0
0.410772;1.78467;0;0.25;3065;23.3079;2.7;2.8332;0
0.314099;1.85665;0;0.25;1;24.0709;2.7;2.7723;0
0.341914;2.04683;0;0.25;1;24.0599;2.7;2.7836;0
0.25573;2.06823;0;0.25;6001;26.3745;2.7;2.7836;1
0.25573;2.06823;0;0.25;6001;26.3745;2.7;2.7836;1
0.371619;1.89525;0;0.25;3366;23.539;2.7;2.6798;0
0.250511;2.08468;0;0.25;1;23.798;2.7;2.7595;0
0.379876;1.77139;0;0.25;1;23.6929;2.7;2.8332;0
0.280119;1.9916;0;0.25;6001;26.1815;2.7;2.8332;1
0.280119;1.9916;0;0.25;6001;26.1815;2.7;2.8332;1
0.283003;2.16066;0;0.25;6001;26.2699;2.7;1.9088;1
0.283003;2.16066;0;0.25;6001;26.2699;2.7;1.9088;1
0.310713;1.88904;0;0.25;6001;25.6007;2.7;2.6271;1
0.310713;1.88904;0;0.25;6001;25.6007;2.7;2.6271;1
0.381384;2.16116;0;0.25;2915;23.1004;2.7;2.5055;0
0.268961;1.80951;0;0.25;1;23.6188;2.7;2.9061;0
0.325281;1.89962;0;0.25;1;23.6326;2.7;2.9876;0
0.416572;2.06166;0;0.25;4851;22.9945;2.7;2.9876;0
0.230894;1.99665;0;0.25;1;21.7792;2.7;2.7205;0
0.383326;2.1593;0;0.25;1;21.7485;2.7;2.7905;0
0.302274;2.01525;0;0.25;2584;23.952;2.7;2.7905;0
0.404198;1.78223;0;0.25;1;26.8504;2.7;2.7371;0
0.401729;1.83803;0;0.25;1;26.8537;2.7;2.848;0
0.286636;1.92546;0;0.25;2605;23.6163;2.7;2.848;0
0.257654;1.87063;0;0.25;1;25.2701;2.7;3.7924;0
0.260301;1.82415;0;0.25;1;25.1985;2.7;3.8633;0
0.381367;1.82999;0;0.25;974;19.1215;2.7;3.8633;0
0.272146;2.16522;0;0.25;1;23.802;2.7;2.9405;0
0.39047;1.79538;0;0.25;1;23.7624;2.7;2.9655;0
0.222629;1.94349;0;0.25;5140;26.4013;2.7;2.9655;0
0.248131;1.86732;0;0.25;1;27.4513;2.7;2.7079;0
0.360678;1.85037;0;0.25;1;27.4346;2.7;2.7358;0
0.299879;1.82461;0;0.25;2352;23.7841;2.7;2.7358;0
0.315624;1.91232;0;0.25;1;24.7793;2.7;2.7282;0
0.415422;1.86467;0;0.25;1;24.7793;2.7;2.7282;0
0.40904;2.00613;0;0.25;892;19.1133;2.7;2.7282;0
0.287306;1.88925;0;0.25;1;25.4487;2.7;2.7468;0
0.310957;1.93124;0;0.25;1;25.2513;2.7;2.8224;0
0.369901;1.78657;0;0.25;935;19.2435;2.7;2.8224;0
0.22464;1.9815;0;0.25;1;23.4006;2.7;2.7786;0
0.296609;1.96455;0;0.25;1;23.4006;2.7;2.7786;0
0.377838;2.1251;0;0.25;875;19.0984;2.7;2.7786;0
0.285303;1.82572;0;0.25;1;23.486;2.7;3.118;0
0.263385;1.85383;0;0.25;1;23.4085;2.7;3.1833;0
0.371563;2.08372;0;0.25;1029;19.8334;2.7;3.1833;0
0.297091;1.91705;0;0.25;1;22.7187;2.7;2.7603;0
0.34996;2.0967;0;0.25;1;22.5245;2.7;2.8153;0
0.325876;1.85129;0;0.25;880;19.1124;2.7;2.8153;0
0.348913;2.06321;0;0.25;1;24.6142;2.7;2.732;0
0.300881;1.77046;0;0.25;1;24.6142;2.7;2.732;0
0.39378;2.02531;0;0.25;967;19.7721;2.7;2.732;0
0.346207;2.00346;0;0.25;1;23.3878;2.7;2.8181;0
0.344093;1.95494;0;0.25;1;23.3546;2.7;2.818;0
0.252759;1.82463;0;0.25;1636;22.7269;2.7;2.818;0
0.240356;1.94932;0;0.25;1;25.8067;2.7;2.7682;0
0.323872;1.82109;0;0.25;1;25.7384;2.7;2.8091;0
0.226907;2.16105;0;0.25;1241;21.7987;2.7;2.8091;0
0.221403;1.91941;0;0.25;1;27.0201;2.7;2.715;0
0.261194;1.9101;0;0.25;1;27.0201;2.7;2.715;0
0.346043;1.91035;0;0.25;941;19.6738;2.7;2.715;0
0.353088;2.1087;0;0.25;1;22.6122;2.7;2.9819;0
0.256963;2.02109;0;0.25;1;22.6122;2.7;2.9819;0
0.307259;2.06923;0;0.25;1473;21.3535;2.7;2.9819;0
0.237409;2.01084;0;0.25;1;22.2906;2.7;2.7506;0
0.391816;1.87831;0;0.25;1;22.1454;2.7;2.7655;0
0.23527;1.82457;0;0.25;2894;24.5597;2.7;2.7655;0
0.410148;2.14224;0;0.25;1;24.8263;2.7;2.9921;0
0.243829;2.06053;0;0.25;1;24.8111;2.7;3.0253;0
0.320647;2.04297;0;0.25;824;19.2295;2.7;3.0253;0
0.402475;2.12105;0;0.25;1;25.3369;2.7;2.7416;0
0.394394;1.93576;0;0.25;1;25.3092;2.7;2.8645;0
0.375274;1.85438;0;0.25;700;17.8154;2.7;2.8645;0
0.400614;2.00491;0;0.25;1;24.0088;2.7;3.1702;0
