tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.0819045;2.35038;-6.2062e-05;0.41;1429;28.3389;3;2.9923;0
0.125721;2.05418;1.2078e-05;0.41;1;43.3537;3;3.0045;0
0.183339;1.59059;9.90169e-05;0.41;1;43.3617;3;3.013;0
0.205326;1.41926;3.05997e-05;0.41;1450;28.2947;3;3.013;0
0.204615;2.28313;-4.11948e-05;0.41;1;41.6597;3;3.0161;0
0.12805;1.59695;5.79569e-05;0.41;1;41.6356;3;3.0705;0
0.146198;0.75442;-1.35481e-05;0.41;1348;26.6433;3;3.0705;0
0.18829;2.11285;-6.16282e-05;0.41;1;41.0986;3;3.1089;0
0.179251;0.929846;1.58283e-05;0.41;1;41.0986;3;3.1089;0
0.113978;1.39113;9.84611e-05;0.41;1900;31.5367;3;3.1089;0
0.0929491;1.23686;-8.47564e-05;0.41;1;44.0466;3;3.0804;0
0.0944333;0.64176;-6.51704e-06;0.41;1;44.0466;3;3.0804;0
0.164376;0.700567;-2.20435e-05;0.41;1174;24.4342;3;3.0804;0
0.0931558;2.54877;7.41278e-05;0.41;1;39.2685;3;3.52;0
0.0819045;2.35038;-6.2062e-05;0.41;1773;33.7294;3;2.9719;0
0.125721;2.05418;1.2078e-05;0.41;1;46.5822;3;3.0438;0
0.183339;1.59059;9.90169e-05;0.41;1;46.5601;3;3.1109;0
0.205326;1.41926;3.05997e-05;0.41;1209;31.4735;3;3.1109;0
0.204615;2.28313;-4.11948e-05;0.41;1;41.3915;3;3.0176;0
0.12805;1.59695;5.79569e-05;0.41;1;41.2851;3;3.121;0
0.146198;0.75442;-1.35481e-05;0.41;1004;27.2084;3;3.121;0
0.18829;2.11285;-6.16282e-05;0.41;1;41.1588;3;3.091;0
0.179251;0.929846;1.58283e-05;0.41;1;41.1312;3;3.3064;0
0.113978;1.39113;9.84611e-05;0.41;1596;35.8746;3;3.3064;0
0.0929491;1.23686;-8.47564e-05;0.41;1;46.181;3;3.0323;0
0.0944333;0.64176;-6.51704e-06;0.41;1;46.0752;3;3.1312;0
0.164376;0.700567;-2.20435e-05;0.41;799;24.5121;3;3.1312;0
0.0931558;2.54877;7.41278e-05;0.41;1;39.1557;3;3.2337;0
0.164171;1.74257;-4.89971e-05;0.41;1;39.1515;3;3.0673;0
0.153026;1.1106;-4.59038e-05;0.41;1321;28.8009;3;3.0673;0
0.0834302;1.83227;-6.97454e-05;0.41;1;43.571;3;3.0723;0
0.202841;0.652369;4.70178e-05;0.41;1;43.5531;3;3.1419;0
0.13517;1.01224;1.42968e-05;0.41;938;25.3992;3;3.1419;0
0.15464;1.96316;3.29371e-05;0.41;1;42.4328;3;3.0395;0
0.0943113;2.07015;6.49834e-05;0.41;1;42.3987;3;3.148;0
0.175433;1.20526;6.51025e-06;0.41;1339;32.4772;3;3.148;0
0.0906576;2.15242;8.25062e-05;0.41;1;42.9379;3;3.0371;0
0.181213;0.585977;2.01057e-06;0.41;1;42.888;3;3.1363;0
0.111383;1.687;8.34503e-07;0.41;2424;37.2553;3;3.1363;0
0.113402;2.53232;9.28911e-05;0.41;1;46.189;3;3.1271;0
0.132799;1.17419;-8.87583e-05;0.41;1;46.1798;3;3.1884;0
0.182269;2.53479;-8.97875e-05;0.41;4091;39.822;3;3.1884;0
0.103572;0.776559;6.95937e-06;0.41;1;46.9936;3;3.0224;0
0.142997;1.22712;-3.64724e-05;0.41;1;46.9842;3;3.0506;0
0.2069;2.03733;9.07234e-05;0.41;2535;35.5837;3;3.0506;0
0.0769255;1.71224;-8.78309e-05;0.41;1;41.7749;3;3.1518;0
0.183628;2.52553;-5.48349e-05;0.41;1;41.7749;3;3.1518;0
0.126892;1.80525;5.09113e-05;0.41;5039;41.5705;3;3.1518;0
0.198238;0.640144;6.61152e-05;0.41;1;46.0335;3;3.1297;0
0.19651;0.919144;1.33566e-05;0.41;1;45.9581;3;3.2138;0
0.115945;1.3563;-7.0896e-06;0.41;2049;38.0946;3;3.2138;0
0.0956576;1.08216;2.21098e-05;0.41;1;46.0329;3;3.0078;0
0.0975105;0.849745;3.38688e-05;0.41;1;46.0236;3;3.0495;0
0.182257;0.878952;-5.7144e-06;0.41;844;28.9246;3;3.0495;0
0.105802;2.55512;3.97523e-05;0.41;1;41.762;3;3.105;0
0.188629;0.705923;-6.16428e-05;0.41;1;41.762;3;3.105;0
0.0711405;1.44647;-2.20774e-05;0.41;1865;34.0474;3;3.105;0
0.088992;1.06562;-7.72164e-06;0.41;1;46.5473;3;3.1085;0
0.167774;0.980873;-6.35476e-05;0.41;1;46.5475;3;3.344;0
0.125215;0.852085;4.31303e-05;0.41;603;25.0352;3;3.344;0
0.136237;1.2906;-9.9938e-05;0.41;1;40.5542;3;3.1283;0
0.206095;1.05235;3.08559e-05;0.41;1;40.5509;3;3.1965;0
0.201628;1.75967;8.07715e-05;0.41;575;30.8096;3;3.1965;0
0.116414;1.17525;3.50796e-05;0.41;1;37.1085;3;4.1489;0
0.13297;1.38522;2.3661e-05;0.41;1;36.1131;3;5.2763;0
0.174231;0.661849;3.52073e-05;0.41;236;22.1819;3;5.2763;0
0.0725477;1.63651;8.76348e-05;0.41;1;36.8227;3;3.3442;0
0.122926;1.55178;3.51502e-05;0.41;1;36.8512;3;3.3596;0
0.179786;2.35452;4.54237e-05;0.41;343;23.3302;3;3.3596;0
0.115012;0.857634;-5.25634e-05;0.41;1;36.7239;3;3.0584;0
0.0996692;0.998167;1.56353e-05;0.41;1;36.7257;3;3.2842;0
0.175394;2.14763;-7.33124e-05;0.41;2323;38.8142;3;3.2842;0
0.123264;1.31426;-3.90956e-05;0.41;1;45.3038;3;3.0068;0
0.160272;2.21252;5.65575e-05;0.41;1;45.2204;3;3.0936;0
0.143413;0.98548;2.68054e-05;0.41;757;26.9605;3;3.0936;0
0.159539;2.04505;3.60709e-05;0.41;1;41.8364;3;3.1097;0
0.125917;0.581331;-4.74296e-05;0.41;1;41.8336;3;3.2581;0
0.190946;1.85556;2.48757e-05;0.41;1805;34.6934;3;3.2581;0
0.157645;1.74629;9.33011e-05;0.41;1;43.1391;3;3.0123;0
0.156165;1.50372;2.42033e-05;0.41;1;43.0672;3;3.1288;0
0.0922312;0.852152;7.30021e-05;0.41;1746;34.5442;3;3.1288;0
0.0835494;1.47559;-3.48504e-05;0.41;1;45.815;3;3.1535;0
0.14201;0.83446;-8.60505e-05;0.41;1;45.7863;3;3.3106;0
0.0741346;2.53426;9.17398e-05;0.41;1798;35.8111;3;3.3106;0
0.0702823;1.32604;-1.88523e-05;0.41;1;42.124;3;3.0828;0
0.0981359;1.27951;4.69299e-05;0.41;1;42.0058;3;3.2157;0
0.15753;1.28074;-7.65775e-05;0.41;954;30.281;3;3.2157;0
0.162462;2.2725;-6.53661e-05;0.41;1;40.5474;3;3.6358;0
0.0951742;1.83448;-3.95191e-06;0.41;1;40.244;3;3.7759;0
0.130382;2.07516;-9.42131e-05;0.41;808;25.7723;3;3.7759;0
0.0814863;1.7832;3.0248e-05;0.41;1;42.0318;3;3.1164;0
0.189571;1.12054;3.01866e-05;0.41;1;41.9677;3;3.2625;0
0.0799891;0.851855;-7.48249e-05;0.41;292;28.2968;3;3.2625;0
0.202403;2.44022;8.3694e-05;0.41;1;41.5398;3;3.038;0
0.0859801;2.03167;4.77523e-05;0.41;1;41.545;3;3.1132;0
0.139753;1.94386;4.60518e-05;0.41;1413;32.5508;3;3.1132;0
0.197033;2.33427;6.10195e-05;0.41;1;40.6977;3;3.7064;0
0.191376;1.40783;-3.88043e-06;0.41;1;40.6683;3;3.7794;0
0.177992;1.00092;-9.69202e-05;0.41;711;27.0491;3;3.7794;0
0.19573;1.75357;-8.28979e-05;0.41;1;40.6603;3;3.0175;0
0.0931949;1.14669;9.74754e-05;0.41;1;40.653;3;3.0937;0
0.199523;2.24529;6.63136e-05;0.41;1509;33.6335;3;3.0937;0
0.0957451;1.88142;-5.55604e-05;0.41;1;42.6089;3;3.0529;0
0.12451;1.96888;-8.90686e-05;0.41;1;42.5127;3;3.1886;0
0.190468;1.91871;3.41676e-05;0.41;1241;32.1713;3;3.1886;0
0.0714836;0.659071;3.26736e-05;0.41;1;41.161;3;3.1551;0
0.201715;1.18043;9.03701e-05;0.41;1;41.1336;3;3.1537;0
0.0852121;2.43393;-2.51077e-05;0.41;1572;35.712;3;3.1537;0
0.0908321;1.05382;-2.13108e-05;0.41;1;46.0251;3;3.0509;0
0.0919015;1.33574;9.50601e-05;0.41;1;46.0183;3;3.0962;0
0.185646;1.20539;-6.30323e-05;0.41;871;28.3781;3;3.0962;0
0.136096;2.25415;-3.11342e-05;0.41;1;42.3304;3;3.0389;0
0.163135;1.43597;-2.13359e-05;0.41;1;42.3304;3;3.0389;0
0.17677;2.15476;8.8221e-05;0.41;1569;36.55;3;3.0389;0
0.142321;2.49362;-6.12442e-05;0.41;1;44.3755;3;3.0005;0
0.116136;1.6485;7.99602e-05;0.41;1;44.2635;3;3.0505;0
0.0982186;1.52516;6.06446e-05;0.41;1031;34.8345;3;3.0505;0
0.185301;1.14564;8.93612e-05;0.41;1;43.5674;3;4.2961;0
0.0893284;2.00149;5.33922e-05;0.41;1;43.3406;3;4.6367;0
0.100775;0.889729;-7.76585e-05;0.41;694;29.8101;3;4.6367;0
0.194437;1.87057;8.40848e-05;0.41;1;42.7263;3;3.2208;0
0.200094;1.53828;1.37928e-05;0.41;1;42.7263;3;3.2208;0
0.0905002;2.04495;7.83652e-05;0.41;966;32.2577;3;3.2208;0
0.123748;0.644206;-4.95353e-05;0.41;1;4.1959;3;23.636;0
0.186312;2.09806;-5.8965e-06;0.41;1;3.8856;3;23.6588;0
0.199295;1.37621;7.8403e-05;0.41;703;29.0216;3;23.6588;0
0.155132;1.16645;-1.75279e-05;0.41;1;41.0918;3;3.0273;0
0.169795;1.78275;-4.05829e-06;0.41;1;41.0918;3;3.0273;0
0.112454;0.889254;-8.37156e-06;0.41;623;28.1563;3;3.0273;0
0.109081;2.2962;-1.21185e-05;0.41;1;42.7385;3;3.0054;0
0.171917;2.22271;-9.47499e-05;0.41;1;42.7385;3;3.0054;0
0.0987395;1.71447;-6.73444e-05;0.41;487;24.4713;3;3.0054;0
0.126743;1.03855;-2.95076e-06;0.41;1;41.0615;3;3.1184;0
0.159248;2.00654;6.80133e-06;0.41;1;40.8526;3;3.3178;0
0.0827703;1.83262;3.10464e-05;0.41;547;28.2031;3;3.3178;0
0.0813912;0.874615;2.34708e-05;0.41;1;42.665;3;3.0515;0
0.144967;1.03437;-1.38644e-05;0.41;1;42.6493;3;3.1472;0
0.111105;2.43191;2.5931e-05;0.41;1110;35.0872;3;3.1472;0
0.143868;1.97164;-1.1339e-06;0.41;1;45.1729;3;3.0079;0
0.198797;2.04306;9.2638e-05;0.41;1;45.157;3;3.0287;0
0.186444;0.802697;1.04538e-05;0.41;338;16.8446;3;3.0287;0
0.162101;2.37409;5.3171e-05;0.41;1;33.3515;3;3.2988;0
0.20714;1.56864;-1.2068e-05;0.41;1;33.243;3;3.4321;0
0.192818;0.641924;-8.83555e-05;0.41;413;22.0928;3;3.4321;0
0.14816;0.966841;9.30071e-06;0.41;1;35.5014;3;4.042;0
0.161962;0.958566;-3.98067e-05;0.41;1;35.4404;3;3.978;0
0.142606;2.00245;-2.41263e-05;0.41;323;21.1614;3;3.978;0
0.156167;1.13844;4.94916e-05;0.41;1;37.0708;3;3.0191;0
0.141673;1.72066;9.41863e-05;0.41;1;36.9056;3;3.1326;0
0.204886;2.01881;-9.43354e-05;0.41;673;31.1561;3;3.1326;0
0.17775;1.99321;-3.94216e-06;0.41;1;42.5918;3;3.1321;0
0.106971;1.09202;2.69265e-05;0.41;1;42.4722;3;3.1881;0
0.201373;1.64782;2.82047e-05;0.41;635;30.7015;3;3.1881;0
0.124307;0.986763;8.98057e-05;0.41;1;41.8172;3;3.3;0
0.197929;1.26827;-4.48916e-05;0.41;1;41.7742;3;3.3451;0
0.0754786;1.86474;3.81138e-05;0.41;871;34.5412;3;3.3451;0
0.204767;1.93367;7.33771e-05;0.41;1;44.9189;3;3.0881;0
0.188659;2.1073;-8.85159e-05;0.41;1;44.8869;3;3.1761;0
0.0846138;1.38644;9.62305e-06;0.41;891;34.0853;3;3.1761;0
0.189138;0.659508;9.32258e-05;0.41;1;45.3907;3;3.033;0
0.180433;1.64096;-3.74298e-05;0.41;1;45.1771;3;3.4674;0
0.122816;2.32602;9.39184e-05;0.41;1319;35.8358;3;3.4674;0
0.172863;0.569344;-8.64488e-06;0.41;1;44.0267;3;3.0104;0
0.201391;1.37385;-3.06992e-05;0.41;1;44.0237;3;3.1693;0
0.103966;2.09606;4.35778e-05;0.41;529;28.0725;3;3.1693;0
0.142325;2.51129;7.29945e-05;0.41;108;15.9014;3;3.0166;0
0.103883;2.07249;-9.51559e-05;0.41;1;16.4636;3;11.5993;0
0.204513;1.86423;1.76987e-05;0.41;1;15.5173;3;12.031;0
0.109153;1.44863;7.27122e-05;0.41;342;27.4004;3;12.031;0
0.17758;1.10967;-8.81778e-05;0.41;1;40.2634;3;3.8166;0
0.100326;1.98306;-4.13428e-05;0.41;1;39.9718;3;4.3026;0
0.133425;0.827206;6.96766e-05;0.41;194;17.1182;3;4.3026;0
0.105239;1.1465;-6.86694e-05;0.41;1;33.5525;3;4.6463;0
0.0717454;2.02226;-2.45418e-05;0.41;1;33.4483;3;4.8146;0
0.0852485;1.7621;7.53265e-06;0.41;1081;35.9983;3;4.8146;0
0.163818;1.49889;-3.01474e-05;0.41;1;44.7078;3;3.0512;0
0.157657;2.12143;-4.52754e-05;0.41;1;44.4941;3;3.2876;0
0.19225;2.1277;7.66272e-06;0.41;939;33.3031;3;3.2876;0
0.203182;1.50922;2.33244e-05;0.41;1;42.524;3;3.3642;0
0.193546;1.52227;-8.80354e-05;0.41;1;42.524;3;3.3642;0
0.0954668;0.966868;9.33819e-05;0.41;1000;31.5093;3;3.3642;0
0.1752;2.18157;-4.49287e-05;0.41;1;43.364;3;3.0133;0
0.175545;1.92358;-7.92378e-05;0.41;1;43.364;3;3.0133;0
0.120499;0.715045;9.39037e-05;0.41;546;23.0745;3;3.0133;0
0.140393;1.95646;-5.23866e-05;0.41;1;39.1678;3;3.0786;0
0.129444;0.922517;3.96245e-05;0.41;1;39.1019;3;3.1455;0
0.094421;0.737883;7.36729e-05;0.41;567;32.3917;3;3.1455;0
0.0940193;0.854568;1.91104e-05;0.41;1;43.3196;3;3.002;0
0.184815;1.26912;2.53267e-05;0.41;1;43.3172;3;3.0068;0
0.185009;1.56193;-6.6281e-05;0.41;693;31.0218;3;3.0068;0
0.0819363;0.90766;-6.90244e-05;0.41;1;41.3743;3;3.024;0
0.18766;1.09933;-1.12898e-05;0.41;1;41.3117;3;3.0963;0
0.167387;2.19311;-7.20081e-05;0.41;869;34.0315;3;3.0963;0
0.104556;0.733339;8.94553e-05;0.41;1;41.3991;3;3.1726;0
0.0962054;1.52952;-4.36296e-05;0.41;1;41.1902;3;3.446;0
